Krøyersvej 27, 5700 Svendborg
Rødeledsvej 67, 5700 Svendborg
Krøyersvej 28, 5700 Svendborg
Krøyersvej 29, 5700 Svendborg
Krøyersvej 32, 5700 Svendborg
Gartnerhøj 11, 5700 Svendborg
Klampenborgvej 32, 5700 Svendborg
Svinget 1, 5700 Svendborg
Skovsbovej 43, 5700 Svendborg
Svinget 1, 5700 Svendborg
Niels Hansens Vej 31, 5700 Svendborg
Troldeskovvej 5, 5700 Svendborg
Iholmvænge 7, 5700 Svendborg
Wandallsvej 35, 5700 Svendborg
Viebæltet 5, 5700 Svendborg
Møllergade 69, 1, 5700 Svendborg
Møllergade 69, 2, 5700 Svendborg
Møllergade 69, 5700 Svendborg
Strandvej 80, 5700 Svendborg
Møllergade 69, 1, 5700 Svendborg
Møllergade 71, 1 TV, 5700 Svendborg
Møllergade 71, 2 TH, 5700 Svendborg
Møllergade 71, 2 TV, 5700 Svendborg
Møllergade 71, 1 TH, 5700 Svendborg
Møllergade 71, 5700 Svendborg
Wandallsparken 39, 5700 Svendborg
Kobberbæksvej 61, 5700 Svendborg
Jessens Mole 17, 5700 Svendborg
Sybergsvej 5, 5700 Svendborg
Fruerstuevej 99, 5700 Svendborg
Jernbanevej 9, Kl. 5700 Svendborg
Pilegårdsvej 7, 5700 Svendborg
Møllergade 78, 5700 Svendborg
Odensevej 77, 5700 Svendborg
Møllergade 79, 1, 5700 Svendborg
Wandallsparken 6, 5700 Svendborg
Øksenbjergvej 49, 5700 Svendborg
Jægermarken 8, ST MF, 5700 Svendborg
Møllergade 81, 1 TH, 5700 Svendborg
Præstevænget 27, 5700 Svendborg
Møllergade 81, ST, 5700 Svendborg
Møllergade 81, 1 TV, 5700 Svendborg
Møllergade 81, ST TH, 5700 Svendborg
Møllergade 81, 5700 Svendborg
Fruerstuevej 41, 5700 Svendborg
Møllergade 81, ST TV, 5700 Svendborg
Jægermarken 8, 3 TV, 5700 Svendborg
Sanddalsvej 2, 5700 Svendborg
Bjørnøvej 53, 5700 Svendborg
Maegårdsvænget 7, 5700 Svendborg
Møllergade 83, 5700 Svendborg
Wandallsvænge 48, 5700 Svendborg
Møllergade 85, 5700 Svendborg
Avernakøvej 16, 5700 Svendborg
Møllergade 86, 5700 Svendborg
Christinedalsvej 6, 5700 Svendborg
Møllergade 87, 1 MF, 5700 Svendborg
Klampenborgvej 63, 5700 Svendborg
Møllergade 89, 5700 Svendborg
Møllergade 89, ST, 5700 Svendborg
Møllergade 89, 5700 Svendborg
Møllergade 89, 5700 Svendborg
Skyttevej 3, 5700 Svendborg
Møllergade 91, 5700 Svendborg
Præstevænget 8, 5700 Svendborg
Møllergade 91, 5700 Svendborg
Møllergade 91, 2, 5700 Svendborg
Møllergade 93, 5700 Svendborg
Møllergade 95, 5700 Svendborg
Møllergade 95, 1 TH, 5700 Svendborg
Møllergade 95, 5700 Svendborg
Møllergade 95, ST, 5700 Svendborg
Møllergade 95, 2 TH, 5700 Svendborg
Møllergade 95, 1 TV, 5700 Svendborg
Møllergade 91, 1, 5700 Svendborg
Nyborgvej 245, 5700 Svendborg
Fåborgvej 30, 5700 Svendborg
Bakkevej 22, 5700 Svendborg
Vildrosevej 16, 5700 Svendborg
Møllergade 97, 5700 Svendborg
Skovsbovej 39, 5700 Svendborg
Sørup Kirkevej 74, 5700 Svendborg
Nyborgvej 114, 5700 Svendborg
Mølmarksvej 159, 5700 Svendborg
Møllergade 99, 5700 Svendborg
Søgårdsvej 5, 1 TV, 5700 Svendborg
Fruerstuevej 18, 5700 Svendborg
Sanddalsvænget 9, 5700 Svendborg
Avernakøvej 14, 5700 Svendborg
Møllergade 101, 5700 Svendborg
Johan Lundbyes Vej 21, 5700 Svendborg
Johan Lundbyes Vej 16, 5700 Svendborg
H C Ørsteds Vej 40, 5700 Svendborg
H C Ørsteds Vej 42, 5700 Svendborg
H C Ørsteds Vej 44, 5700 Svendborg
Niels Finsens Vej 9, 5700 Svendborg
Sankt Jørgens Vej 7, ST TH, 5700 Svendborg
Fruerstuevej 53, 5700 Svendborg
Møllergade 103, 1, 5700 Svendborg
Møllergade 104, 2, 5700 Svendborg
Møllergade 104, 5700 Svendborg
Møllergade 104, 1 TV, 5700 Svendborg
Møllergade 104, ST, 5700 Svendborg
Møllergade 104, 5700 Svendborg
Vestergade 157, 5700 Svendborg
Poul Smeds Vej 4, 5700 Svendborg
Wandallsvænge 40, 5700 Svendborg
Møllergade 105, 5700 Svendborg
Møllergade 106, 2, 5700 Svendborg
Møllergade 106, 1, 5700 Svendborg
Fruerstuevej 99, 5700 Svendborg
Møllergade 106, ST, 5700 Svendborg
Møllergade 106, 1, 5700 Svendborg
Korsgade 14, ST TH, 5700 Svendborg
Bjørnøvej 57, 5700 Svendborg
Møllergade 106, ST TH, 5700 Svendborg
Christinedalsvej 26, 5700 Svendborg
Høje Bøge Vej 56, 5700 Svendborg
Møllergade 107, 5700 Svendborg
Strandløkken 7, 5700 Svendborg
Dronningholmsvej 74, 5700 Svendborg
Poul Smeds Vej 6, 5700 Svendborg
Møllergade 109, 5700 Svendborg
Dronningholmsvej 74, 1 TH, 5700 Svendborg
Møllergade 110, ST, 5700 Svendborg
Møllergade 110, 5700 Svendborg
Møllergade 110, 1 TV, 5700 Svendborg
Møllergade 110, 1 TH, 5700 Svendborg
Møllergade 111, 5700 Svendborg
Møllergade 111, ST TV, 5700 Svendborg
Møllergade 111, ST TH, 5700 Svendborg
Møllergade 112, 5700 Svendborg
Møllergade 114, 5700 Svendborg
Møllergade 116, 5700 Svendborg
Reberbanen 1, 5700 Svendborg
Reberbanen 2, 5700 Svendborg
Fruerstuevej 66, 5700 Svendborg
Reberbanen 3, 5700 Svendborg
Reberbanen 4, 5700 Svendborg
Reberbanen 5, 5700 Svendborg
Reberbanen 6, 5700 Svendborg
Møllergade 118, 5700 Svendborg
Ørkildsgade 15, 5700 Svendborg
